audience score,box office (gross usa),genre,original language,release date (theaters),runtime,title,tomatometer
86.0,$51.0K,"History, Drama, Mystery & thriller",Russian,"Dec 5 1926, original",1h 7m,Battleship Potemkin,100.0
71.0,$22.8K,Documentary,English,"Oct 27 2017, limited",1h 41m,Bill Nye: Science Guy,100.0
50.0,$7.3K,Documentary,English,"Jul 14 2017, limited",1h 45m,Birthright: A War Story,100.0
86.0,$39.4K,Drama,French (Canada),"Feb 19 1970, original",1h 30m,Au Hasard Balthazar,100.0
76.0,$12.2K,Documentary,English,"Oct 6 2017, limited",1h 42m,Bending the Arc,100.0
85.0,$5.0K,"Documentary, History, Drama, Mystery & thriller",English,"Apr 25 2012, limited",1h 30m,Booker's Place: A Mississippi Story,100.0
58.0,$4.2K,"Documentary, Music",English,"Jun 24 2016, limited",1h 33m,Breaking a Monster,100.0
55.0,$17.4K,Drama,English,"Sep 11 2019, limited",1h 31m,Chained for Life,100.0
91.0,$21.7K,Documentary,English,"Oct 12 2018, limited",1h 48m,Charm City,100.0
90.0,$18.3K,Documentary,English,"Sep 13 2019, limited",1h 22m,Chasing Einstein,100.0
84.0,$218.6K,Documentary,English,"Aug 18 2017, limited",1h 43m,California Typewriter,100.0
84.0,$29.0K,"Documentary, Biography",English,"Jul 28 2023, limited",1h 54m,Bobi Wine: The People's President,100.0
87.0,$40.5K,Comedy,French (Canada),"Mar 29 2019, limited",1h 32m,Charlotte Has Fun,100.0
99.0,$178.5K,Documentary,Dutch,"May 26 2023, limited",1h 18m,Close to Vermeer,100.0
